=== MONTE CARLO COST EFFICIENCY SUMMARY ===
Pool Size: 150 | Iterations: 2000

################################################################################
# METRIC: TARGET_GT_2
################################################################################

TARGET CATEGORY: LEFT USERS
==================================================
  Trials (T) | Nodes (N)  | Statistical Power (%)
  -----------+------------+--------------------------
  2          | 20         |                      0.0%
  3          | 20         |                      0.0%
  4          | 20         |                      5.5%
  5          | 20         |                      8.2%
  6          | 20         |                     11.4%
  7          | 20         |                     12.4%
  8          | 20         |                     15.4%
  9          | 20         |                     17.2%
  10         | 20         |                     18.7%
  2          | 40         |                      0.0%
  3          | 40         |                      0.0%
  4          | 40         |                     25.3%
  5          | 40         |                     33.8%
  6          | 40         |                     43.1%
  7          | 40         |                     53.5%
  8          | 40         |                     60.2%
  9          | 40         |                     66.1%
  10         | 40         |                     74.8%
  2          | 60         |                      0.0%
  3          | 60         |                      0.0%
  4          | 60         |                     40.2%
  5          | 60         |                     57.4%
  6          | 60         |                     71.2%
  7          | 60         |                     80.2%
  8          | 60         |                     86.6%
  9          | 60         |                     90.8%
  10         | 60         |                     94.2%
  2          | 80         |                      0.0%
  3          | 80         |                      0.0%
  4          | 80         |                     59.3%
  5          | 80         |                     76.3%
  6          | 80         |                     87.1%
  7          | 80         |                     94.6%
  8          | 80         |                     97.5%
  9          | 80         |                     99.0%
  10         | 80         |                     99.3%
  2          | 100        |                      0.0%
  3          | 100        |                      0.0%
  4          | 100        |                     51.9%
  5          | 100        |                     69.0%
  6          | 100        |                     82.1%
  7          | 100        |                     89.8%
  8          | 100        |                     92.3%
  9          | 100        |                     96.5%
  10         | 100        |                     97.9%

TARGET CATEGORY: RIGHT USERS
==================================================
  Trials (T) | Nodes (N)  | Statistical Power (%)
  -----------+------------+--------------------------
  2          | 20         |                      0.0%
  3          | 20         |                      1.2%
  4          | 20         |                     19.1%
  5          | 20         |                     29.6%
  6          | 20         |                     39.5%
  7          | 20         |                     49.2%
  8          | 20         |                     58.6%
  9          | 20         |                     63.9%
  10         | 20         |                     70.1%
  2          | 40         |                      0.0%
  3          | 40         |                      0.3%
  4          | 40         |                     64.3%
  5          | 40         |                     81.6%
  6          | 40         |                     91.3%
  7          | 40         |                     96.5%
  8          | 40         |                     98.5%
  9          | 40         |                     99.5%
  10         | 40         |                     99.8%
  2          | 60         |                      0.0%
  3          | 60         |                      0.1%
  4          | 60         |                     99.0%
  5          | 60         |                    100.0%
  6          | 60         |                    100.0%
  7          | 60         |                    100.0%
  8          | 60         |                    100.0%
  9          | 60         |                    100.0%
  10         | 60         |                    100.0%
  2          | 80         |                      0.0%
  3          | 80         |                      0.1%
  4          | 80         |                    100.0%
  5          | 80         |                    100.0%
  6          | 80         |                    100.0%
  7          | 80         |                    100.0%
  8          | 80         |                    100.0%
  9          | 80         |                    100.0%
  10         | 80         |                    100.0%
  2          | 100        |                      0.0%
  3          | 100        |                      0.0%
